,ABARAD,ABARRA,ALCOFL,AMPEMA,ANDIIN,ANNOMO,APEIME,ARDIFI,ASPI01,ASPISP,ASPISR,BALIEL,BEIL01,BEILCO,BILLCO,BROSGU,BROSLA,BROSPA,BYRSAR,BYRSSP,CALOBR,CALTCO,CARAGU,CASEAR,CASESP,CECRIN,CECROB,CECRPE,CEDROD,CEIBPE,CESPSA,CHIMPA,CHRYCO,CLETCO,COCCTU,COJOCA,COJOCO,CONCPL,CONORU,CORDBI,CORDCY,CORDLU,CORDME,CORDSP,COUEPO,COUMMA,CROTSM,CUPALI,CUPASP,CYNORE,DENBBO,DENDAR,DENDSP,DIALGU,DICHMO,DIPTPA,DUSS01,DUSS02,DUSSMA,DYSTPA,ELAEGL,ENTESC,ESCH01,ESCH02,ESCH03,ESCHCA,ESCHIN,ESCHLO,EUGE01,EUTEPR,FICUSP,GARCMA,GARCSP,GOETME,GRIACA,GUAR01,GUAR02,GUAR03,GUARBU,GUARGE,GUARGL,GUARGR,GUARHO,GUARKU,GUATAE,GUATRE,GUETSP,HAMPAP,HERNDI,HIRTME,HIRTSP,HIRTTR,HUMIDI,HYERAL,HYEROB,HYMEME,ILEXSK,INGA01,INGA02,INGA03,INGA04,INGA05,INGA06,INGA07,INGA08,INGA09,INGA10,INGAAC,INGAAE,INGAAL,INGACH,INGAJI,INGALE,INGAMO,INGAOE,INGAPE,INGASE,INGATH,IRIADE,JACACO,JACTCO,LACMPA,LACUPA,LAETPR,LECOAM,LECYAM,LICNAF,LICNHY,LICNKA,LICNSA,LICNSP,LONCFE,LONCSP,MACAMA,MACRCO,MACRHA,MACRSP,MANICH,MANIST,MANIZA,MARAPA,MARILA,MATASP,MAYTGU,MICOMU,MICRCR,MICRME,MINQGU,MORTAN,MOURGL,NAUCNA,NECTSP,OCHRPY,OCOTAT,OCOTIN,OCOTMA,OCOTSP,ORMOCC,ORMOIN,OTOBNO,PACHAQ,PARATR,PENTMA,PERAAR,PESCAR,PODOGU,POSOLA,POURBI,POURMI,POUT01,POUT02,POUT03,POUT04,POUT05,POUT06,POUT07,POUT08,POUT09,POUT10,POUT11,POUT12,POUT13,POUT14,POUT15,POUT16,POUT17,POUT18,POUTBE,POUTCA,POUTCM,POUTCU,POUTDU,POUTFP,POUTRE,POUTSI,POUTSP,POUTTO,PRADAT,PROTPA,PROTPI,PROTRA,PROTSC,PROTSP,PSEUSU,PSYCPA,PTEROF,PTERRO,QUALPO,QUARBR,QUAROB,QUETOC,RICHOB,ROLLPI,RUPTCA,SACOTR,SAPIGL,SAPIRI,SAPISP,SCLECO,SIMAAM,SLOAGU,SLOAMI,SLOARU,SLOASP,SOCREX,SPACCO,SPONMO,STEPCO,STERRE,STRYMI,SWARSP,TABECH,TABRAL,TALAGL,TAPIGU,TAPUGU,TERMAM,TERMBU,TERMOL,TERMSP,TETRPA,THEOAN,THEOSP,TOVOWE,UNONPI,UNONSP,VANTOC,VATALU,VIROKO,VIROMU,VIROSE,VIROSP,VITECO,VOCHAL,VOCHFE,VOCHGU,WELFRE,XYLOSE,ZANTPA,ZYGISP
F54P2,,,,,,,,0.3216,,,,,,,,,,,0.8172,,,,,0.636,,,,,,,,,,,,,,,,,,0.6648,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1384,,,,,,,,,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,0.5808,,,,0.3848,,,,0.1016,,,,,,,,,,,,,,,,,,,0.5028,,,,,,,,,,,,,,,,,,,,,,,0.9504,,,,,,,0.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6648,,,,,,,,,,,,,,0.3216,,,,,,,,,,0.7852,,,,,,
F54P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3272,,,,,,,,,,,,,,,,,,,,,,,0.3116,,,,,,,,,,,,,0.032,,,,,,,,,2.5448,,,,,,,,,,,,,,,,,,,,,,,,,,,0.298,,,,,,,1.356,,0.3848,,,,0.0888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3848,,,,,,0.5028,0.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0108,,1.1308,,,,
F54P4,,,,,,,,,,,,,,,,,,,,,,,0.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.636,,,,,,,,,,,,,,,,,,0.0332,,,,,,,,,,,,,,,,,,,0.5028,,,,,,,,,,,,,,,,,,0.9504,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5028,,,,,,,,,,,,,,,,,,,,,,,,,,,0.636,,,,,,,,,,,,2.5448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.336,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0108,,,,,,,,,,,,,,,,,,,,,,0.3216,,,,,,,,
F54P5,,,,,,,,,,,,,,,,0.9504,0.3256,,,,,,0.5028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1308,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7672,,,,,,,,0.7852,,,,,,,,,1.7672,,,,,,,,,,,,,,0.554,,,1.3272,,,,,,,,,,,,,,,,,,,,,2.0108,,,,1.3272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3272,,,,,,,,,,,,,,,,,,1.3272,,,,,,,,,,,,,,,,,,,,,,,,,1.1308,,,,,,,,,,,,,,,,,,,,,,,,1.5392,,,,,,,,,,,,,,,,,,,,,,0.1308,,,
F54P6,,,,,,,0.5028,,,,,,,,,,0.7544,,,,,,0.3588,0.3848,,,,,,,,,,,,,,,,,,,1.8628,,,,,,,,,0.3848,,,,,,,0.694,,,,,,,,,,,,,,,,,,,,,,,0.2864,,,,,,,,,,,,,,,1.5392,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,1.5392,,,,,,1.9112,,,,,,0.8172,,1.7672,,,,,,,,,,,,,0.2864,,,,,,,,,,,,,0.916,,,,,,,,,,,,,0.528,,,,,,,,,,,,,,,,,,,,0.5028,,0.3276,,,,,,2.3236,,,,2.0612,,,,,,,,,,,,,,,,0.528,,,,,,,,,,,,,,,,,,,2.2168,,,,,,
F5P1,,,,1.2468,,,2.2168,,,,,,,,,,,,,,,,,,,,,,,,,1.4956,,,,,,,,,,,,,,,,,,,,,,,0.3548,,,,3.1416,,,,,,,,,,,,,,,0.3588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3936,,0.0896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3216,,,,,0.0316,,,,,,,,,,,,,,,,,,,,,,,,,,0.3568,,,,,,,,,
F5P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,0.2924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0864,,,0.622,,0.396,,,,,,,,,,,,,,,,,,,,,,1.0568,,,,,,,,,,,,,,,,,0.3096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6476,,,,,,,,,,,,,0.0372,,,,,,,,,,,,,,,,,,,,,,,,,,0.376,,,,,,,,,
F5P3,,,,,,,,,,1.064,,,,,,,,,0.376,,,,,,,,,,,,0.4828,,,,,,,,,,,,,,,,,,,,,0.3872,,,,,,,,,,,,,,,,,,,,,,0.2828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4728,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1768,,,,,,,,,,,,,,,,0.6,0.3156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3848,,
F6P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7672,,,0.3632,,,,,,2.0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0764,,,,,,,,,,,,,,,,,,,,,,,,0.6448,,,,,,,,,,,,,0.8592,,,,,,,0.5052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0616,,,
F6P2,,,,,,,,,,,,,,,,0.4028,,,,,,,0.8792,0.4488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036,,,,,,,,,,,,,,,,,,,,,,,,6.1576,,,,,,,,,,,,,,0.536,,,,,,,,,,0.4232,0.0332,,,,,,,,,,,,,,,,,,,,,,,,,,0.414,,,1.8004,,,,,,,,,,,,,,,0.4396,,,,,,0.3696,,,,,,,,,,,,,,,,,,,,,,,1.2868,,,,,,,,,,,,,,,1.4356,,,,,,,,,,,,,0.3936,,0.398,,,0.0484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0928,,,
F6P3,,0.4348,,,,,,,,,,,,,,,0.3116,,,,,,0.3196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3828,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0996,,,,,,,,,,,,,,,,,,,,,,,,,,,1.674,,,,,,,,,,,,,,,,,0.2828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046,,,,1.444,,,,,,1.4568,,,,,,,,,,,,,,,,,,,,,,0.0796,,,
F7P1,,,,,,,1.588,,,,,,,,,1.0936,,,,,,,,,,,,,,,,,,,,,,0.3612,,,,,,,,,,,,,,0.3176,,,,,,,,,,,,,,,,,,,,,,1.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7544,,,,0.9676,,,,,,0.0348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4416,,,,,0.7544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.712,,,,,,,,,,,,,,,,,,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0668,,,
F7P2,,,,,,,,,,,,,,,,,,,,,,,0.3696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5916,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3464,,0.4028,,,,,0.0424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8268,,0.8824,,,,,,,,,,,,,,,,,,,,,,,,0.5256,,,,,,,,,,0.5808,,,,,,,,,,,,,,,,,,,,,,,,,,0.0328,,0.5204,,,,,,,,,,,,,,,,,,,,,,,,0.6852,,,,,,0.0696,,,
F8P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.302,,,0.656,,,,,,,,,,,,,,,,0.2864,,,,,,,,,,,,1.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3136,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0416,,,,,,,,,,1.4956,,0.906,,,,,,,,,,,,0.4348,,,,,0.4728,,,0.0432,,,
F8P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1612,,,,0.3632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,,,,,,,0.6532,,,,,,,,,0.444,,,,,,,,,,0.49,,,0.7604,,,0.0624,,,
F9P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8724,,,,,,,,,,0.4208,,,,,,,,,,,0.294,,1.4872,,,,,,,,,,,,,,,,,,,,,,,,,0.3612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3116,,,,,,,,,,,,,,,,,,,,,,,0.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0888,,,
F9P2,,,,0.4276,,,1.1084,,,,,,,,,,1.1768,,,,,,,,,,0.304,,,,,0.7088,,,,,,,,,,,,,,,,,,,,0.306,,0.478,,1.624,,,,,,,,,,,,,,,,,,,,,,,,0.9332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,0.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0408,,,
F9P3,,,,,,,4.6684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.398,,0.6504,,,,,1.2428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7248,,,,,,,,,,,,,,,0.3136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3096,,,,0.0652,,,
